ofs,nom,district,note_pouvoir_achat,note_population,note_tension_ems,indice_pouvoir_achat,pop_80plus,pop_zone_80plus,part_80plus,dist_ems_km,lits_pour_100_district,prix_m2_appart,prix_fiabilite
5534,Rueyres,Gros-de-Vaud,1.6,2.77,2.58,32.0,17.0,3609,5.6,1.28,14.0,8067.0,indicative (1-4)
5539,Vuarrens,Gros-de-Vaud,1.82,2.89,2.92,36.3,26.0,4018,2.3,4.35,14.0,7259.0,annonces (surface estimée)
5671,Dompierre (VD),Broye-Vully,1.47,2.14,2.0,29.4,9.0,1999,3.8,2.83,17.0,9166.0,annonces (surface estimée)
5765,Vaulion,Jura-Nord vaudois,0.62,1.29,2.51,12.5,13.0,897,2.7,7.55,17.0,6253.0,estimé (voisinage)
5799,Servion,Lavaux-Oron,2.19,2.57,3.75,43.9,90.0,2976,4.0,1.14,9.3,8845.0,solide (5+)
5884,Corsier-sur-Vevey,Riviera-Pays-d'Enhaut,1.71,3.47,1.82,34.2,212.0,6913,6.3,2.1,17.4,10936.0,indicative (1-4)
5912,Démoret,Jura-Nord vaudois,0.8,2.72,2.26,16.1,9.0,3433,5.2,5.22,17.0,6551.0,estimé (voisinage)
5922,Montagny-près-Yverdon,Jura-Nord vaudois,2.32,2.9,1.79,46.4,37.0,4073,4.7,0.96,17.0,3967.0,indicative (1-4)
6622,Genthod,Genève,3.22,4.9,2.94,64.5,166.0,26518,5.8,0.9,12.4,15426.0,indicative (1-4)
6629,Meinier,Genève,1.87,4.61,3.14,37.4,153.0,20303,7.4,2.69,12.4,9373.0,indicative (1-4)
